date,year,eventLabel,typeLabel,category,impact,source,event_id
2007-01-01,2007,Tsunami no Pacífico,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,755
2001-01-01,2001,Acordo de paz em América Central,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,756
1905-01-01,1905,Batalha de Nova York (1905),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,757
2014-01-01,2014,Terremoto em Nova York,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,758
2022-01-01,2022,Avanço em cirurgia Cardíaca,Avanço Médico/Saúde,Avanço Médico/Saúde,Baixo,Synthetic_Historical_Dataset,759
1943-01-01,1943,Lançamento de Inteligência Artificial,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,760
1918-01-01,1918,Avanço tecnológico em Economia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,761
1945-01-01,1945,Vacina desenvolvida para Câncer,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,762
2000-01-01,2000,Independência de Argentina,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,763
2010-01-01,2010,Crise cambial em América Central,Crise Econômica,Crise Econômica,Médio,Synthetic_Historical_Dataset,764
2018-01-01,2018,Eleições presidenciais em Argentina,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,765
1988-01-01,1988,Descoberta sobre Câncer,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,766
1973-01-01,1973,Avanço tecnológico em Geologia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,767
2011-01-01,2011,Independência de Argentina,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,768
2021-01-01,2021,Eleições presidenciais em Austrália,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,769
1968-01-01,1968,Tratado internacional assinado,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,770
1998-01-01,1998,Conflito armado na Europa,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,771
1969-01-01,1969,Guerra em Oceania (1969),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,772
2022-01-01,2022,Programa de saúde pública em França,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,773
1997-01-01,1997,Sequenciamento do Genoma_Y,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,774
2024-01-01,2024,Batalha de Londres (2024),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,775
2021-01-01,2021,Incêndio florestal em Europa,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,776
2019-01-01,2019,Erupção vulcânica em Vulcão_X,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,777
2012-01-01,2012,Erupção vulcânica em Vulcão_X,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,778
1999-01-01,1999,Pandemia de Cardiovasculares,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,779
2016-01-01,2016,Acordo de paz em América do Sul,Evento Político/Social,Evento Político/Social,Baixo,Synthetic_Historical_Dataset,780
1905-01-01,1905,Dívida soberana de Argentina,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,781
2024-01-01,2024,Tratado internacional assinado,Evento Político/Social,Evento Político/Social,Baixo,Synthetic_Historical_Dataset,782
2020-01-01,2020,Conflito armado na América do Norte,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,783
2001-01-01,2001,Tratado internacional assinado,Evento Político/Social,Evento Político/Social,Baixo,Synthetic_Historical_Dataset,784
2017-01-01,2017,Avanço tecnológico em Geologia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,785
2007-01-01,2007,Descoberta científica em Medicina,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,786
2003-01-01,2003,Invasão de Japão,Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,787
2015-01-01,2015,Missão espacial para Marte,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Médio,Synthetic_Historical_Dataset,788
1956-01-01,1956,Seca prolongada em Ásia,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,789
2024-01-01,2024,Programa de saúde pública em Estados Unidos,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,790
2017-01-01,2017,Vacina desenvolvida para Tuberculose,Avanço Médico/Saúde,Avanço Médico/Saúde,Médio,Synthetic_Historical_Dataset,791
1969-01-01,1969,Descoberta sobre Parkinson,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,792
1954-01-01,1954,Incêndio florestal em Ásia,Desastre Natural,Desastre Natural,Médio,Synthetic_Historical_Dataset,793
2012-01-01,2012,Avanço em cirurgia Cardíaca,Avanço Médico/Saúde,Avanço Médico/Saúde,Médio,Synthetic_Historical_Dataset,794
1989-01-01,1989,Golpe militar em Argentina,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,795
1964-01-01,1964,Tratado internacional assinado,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,796
2020-01-01,2020,Colapso bancário em México,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,797
2013-01-01,2013,Descoberta científica em Geologia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,798
2001-01-01,2001,Crise financeira em Ásia,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,799
2004-01-01,2004,Pandemia de Cardiovasculares,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,800
2022-01-01,2022,Teoria revolucionária em Engenharia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,801
1982-01-01,1982,Crise internacional envolvendo Espanha e Coreia do Sul,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,802
2016-01-01,2016,Terremoto em Nova York,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,803
2013-01-01,2013,Batalha de Nova York (2013),Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,804
2015-01-01,2015,Teoria revolucionária em Astronomia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,805
2010-01-01,2010,Guerra em Oriente Médio (2010),Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,806
1971-01-01,1971,Pandemia de Tuberculose,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,807
2017-01-01,2017,Avanço tecnológico em Psicologia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,808
2018-01-01,2018,Quebra da bolsa em Paris,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,809
2015-01-01,2015,Erupção vulcânica em Vulcão_X,Desastre Natural,Desastre Natural,Médio,Synthetic_Historical_Dataset,810
2014-01-01,2014,Golpe militar em Coreia do Sul,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,811
2002-01-01,2002,Inundação em Oriente Médio,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,812
1998-01-01,1998,Invasão de Argentina,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,813
2016-01-01,2016,Inundação em América Central,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,814
2023-01-01,2023,Avanço tecnológico em Física,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,815
1988-01-01,1988,Guerra em Europa (1988),Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,816
1935-01-01,1935,Invasão de Itália,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,817
2008-01-01,2008,Batalha de Cidade do México (2008),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,818
1984-01-01,1984,Guerra em América Central (1984),Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,819
1965-01-01,1965,Golpe militar em Japão,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,820
1975-01-01,1975,Novo tratamento médico para HIV/AIDS,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,821
1990-01-01,1990,Mudança constitucional em Canadá,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,822
2002-01-01,2002,Golpe militar em Canadá,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,823
1964-01-01,1964,Crise financeira em América do Norte,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,824
2013-01-01,2013,Erupção vulcânica em Vulcão_X,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,825
2014-01-01,2014,Reforma política em Sudeste Asiático,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,826
1991-01-01,1991,Colapso bancário em Reino Unido,Crise Econômica,Crise Econômica,Médio,Synthetic_Historical_Dataset,827
2018-01-01,2018,Revolução em Índia,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,828
2014-01-01,2014,Crise internacional envolvendo Austrália e Estados Unidos,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,829
1963-01-01,1963,Crise cambial em Europa,Crise Econômica,Crise Econômica,Médio,Synthetic_Historical_Dataset,830
2024-01-01,2024,Descoberta de Elemento_Z,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,831
1962-01-01,1962,Conflito armado na América do Sul,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,832
1985-01-01,1985,Exploração de Marte,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Alto,Synthetic_Historical_Dataset,833
1998-01-01,1998,Eclipse Cardíaca visível em Oceania,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Médio,Synthetic_Historical_Dataset,834
2009-01-01,2009,Furacão Evento_834 atinge Oceania,Desastre Natural,Desastre Natural,Médio,Synthetic_Historical_Dataset,835
1976-01-01,1976,Movimento social em Alemanha,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,836
2018-01-01,2018,Reforma política em América do Norte,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,837
2004-01-01,2004,Quebra da bolsa em Paris,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,838
2017-01-01,2017,Revolução em Coreia do Sul,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,839
1956-01-01,1956,Revolução em Rússia,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,840
2024-01-01,2024,Guerra em América Central (2024),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,841
1996-01-01,1996,Novo tratamento médico para HIV/AIDS,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Baixo,Synthetic_Historical_Dataset,842
2018-01-01,2018,Teoria revolucionária em Engenharia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,843
1954-01-01,1954,Descoberta sobre Tuberculose,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,844
2006-01-01,2006,Guerra em América Central (2006),Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,845
1963-01-01,1963,Movimento social em Austrália,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,846
2015-01-01,2015,Tratado internacional assinado,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,847
1965-01-01,1965,Lançamento de Telefone celular,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,848
2003-01-01,2003,Novo tratamento médico para Alzheimer,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,849
1987-01-01,1987,Descoberta astronômica: Novo planeta,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Alto,Synthetic_Historical_Dataset,850
1998-01-01,1998,Crise cambial em Oriente Médio,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,851
1905-01-01,1905,Novo tratamento médico para Cardiovasculares,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,852
2024-01-01,2024,Furacão Evento_852 atinge América do Sul,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,853
2016-01-01,2016,Descoberta sobre Malária,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,854
2000-01-01,2000,Descoberta científica em Astronomia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,855
1937-01-01,1937,Mudança constitucional em Espanha,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,856
1905-01-01,1905,Descoberta de Elemento_Z,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,857
2019-01-01,2019,Invasão de Estados Unidos,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,858
2022-01-01,2022,Revolução em Brasil,Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,859
2018-01-01,2018,Crise de saúde global,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,860
1946-01-01,1946,Quebra da bolsa em Tóquio,Crise Econômica,Crise Econômica,Médio,Synthetic_Historical_Dataset,861
2020-01-01,2020,Erupção vulcânica em Vulcão_X,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,862
2002-01-01,2002,Descoberta científica em Biologia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,863
2019-01-01,2019,Teoria revolucionária em Medicina,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Baixo,Synthetic_Historical_Dataset,864
2012-01-01,2012,Incêndio florestal em América do Sul,Desastre Natural,Desastre Natural,Baixo,Synthetic_Historical_Dataset,865
1997-01-01,1997,Avanço tecnológico em Engenharia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Baixo,Synthetic_Historical_Dataset,866
1933-01-01,1933,Descoberta científica em Química,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,867
2014-01-01,2014,Revolução em França,Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,868
2001-01-01,2001,Mudança constitucional em França,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,869
2008-01-01,2008,Teoria revolucionária em Matemática,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,870
2011-01-01,2011,Tsunami no Pacífico,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,871
2021-01-01,2021,Revolução em França,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,872
2009-01-01,2009,Crise de saúde global,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,873
2004-01-01,2004,Crise financeira em Sudeste Asiático,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,874
2004-01-01,2004,Lançamento de Telefone celular,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,875
1944-01-01,1944,Invasão de Japão,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,876
2019-01-01,2019,Crise internacional envolvendo Itália e México,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,877
2017-01-01,2017,Incêndio florestal em Ásia,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,878
2010-01-01,2010,Descoberta científica em Física,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Baixo,Synthetic_Historical_Dataset,879
1993-01-01,1993,Crise financeira em África,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,880
1984-01-01,1984,Erupção vulcânica em Vulcão_X,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,881
2010-01-01,2010,Movimento social em Arábia Saudita,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,882
2005-01-01,2005,Crise cambial em Ásia,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,883
2024-01-01,2024,Batalha de Paris (2024),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,884
1979-01-01,1979,Golpe militar em Rússia,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,885
1991-01-01,1991,Reforma política em América Central,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,886
2023-01-01,2023,Quebra da bolsa em Rio de Janeiro,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,887
2013-01-01,2013,Movimento social em Espanha,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,888
1995-01-01,1995,Cometa Evento_888 observado,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Médio,Synthetic_Historical_Dataset,889
2005-01-01,2005,Descoberta de Elemento_Z,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,890
1968-01-01,1968,Crise internacional envolvendo Austrália e Espanha,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,891
2014-01-01,2014,Golpe militar em Índia,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,892
2024-01-01,2024,Novo tratamento médico para Alzheimer,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,893
2000-01-01,2000,Avanço tecnológico em Economia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,894
2002-01-01,2002,Revolução em Arábia Saudita,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,895
2003-01-01,2003,Golpe militar em Argentina,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,896
1987-01-01,1987,Colapso bancário em Itália,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,897
2007-01-01,2007,Mudança constitucional em Estados Unidos,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,898
2009-01-01,2009,Inflação alta em Sudeste Asiático,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,899
2019-01-01,2019,Vacina desenvolvida para Diabetes,Avanço Médico/Saúde,Avanço Médico/Saúde,Médio,Synthetic_Historical_Dataset,900
1975-01-01,1975,Reforma política em Sudeste Asiático,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,901
1986-01-01,1986,Reforma política em Oriente Médio,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,902
1977-01-01,1977,Seca prolongada em Sudeste Asiático,Desastre Natural,Desastre Natural,Médio,Synthetic_Historical_Dataset,903
1965-01-01,1965,Programa de saúde pública em Itália,Avanço Médico/Saúde,Avanço Médico/Saúde,Médio,Synthetic_Historical_Dataset,904
1993-01-01,1993,Novo medicamento para Hipertensão,Avanço Médico/Saúde,Avanço Médico/Saúde,Médio,Synthetic_Historical_Dataset,905
2018-01-01,2018,Teoria revolucionária em Matemática,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,906
1993-01-01,1993,Lançamento de Realidade Virtual,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,907
1989-01-01,1989,Tsunami no Pacífico,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,908
2003-01-01,2003,Incêndio florestal em África,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,909
2007-01-01,2007,Crise financeira em Ásia,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,910
1946-01-01,1946,Descoberta de Elemento_Z,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,911
1977-01-01,1977,Inundação em Oriente Médio,Desastre Natural,Desastre Natural,Baixo,Synthetic_Historical_Dataset,912
2015-01-01,2015,Avanço tecnológico em Matemática,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,913
2013-01-01,2013,Golpe militar em Reino Unido,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,914
2003-01-01,2003,Avanço tecnológico em Física,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Baixo,Synthetic_Historical_Dataset,915
2018-01-01,2018,Reforma política em Oriente Médio,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,916
2020-01-01,2020,Avanço em cirurgia Cardíaca,Avanço Médico/Saúde,Avanço Médico/Saúde,Médio,Synthetic_Historical_Dataset,917
2023-01-01,2023,Acordo de paz em Europa,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,918
1967-01-01,1967,Revolução em Rússia,Guerra/Conflito,Guerra/Conflito,Baixo,Synthetic_Historical_Dataset,919
2010-01-01,2010,Reforma política em Sudeste Asiático,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,920
2007-01-01,2007,Guerra em América Central (2007),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,921
1941-01-01,1941,Novo tratamento médico para Tuberculose,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,922
1934-01-01,1934,Incêndio florestal em Europa,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,923
1977-01-01,1977,Furacão Evento_923 atinge Ásia,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,924
2003-01-01,2003,Teoria revolucionária em Economia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,925
2013-01-01,2013,Sequenciamento do Genoma_Y,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,926
2004-01-01,2004,Inflação alta em Europa,Crise Econômica,Crise Econômica,Médio,Synthetic_Historical_Dataset,927
1995-01-01,1995,Batalha de Paris (1995),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,928
2021-01-01,2021,Guerra em Europa (2021),Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,929
2000-01-01,2000,Descoberta sobre Diabetes,Avanço Médico/Saúde,Avanço Médico/Saúde,Médio,Synthetic_Historical_Dataset,930
1943-01-01,1943,Golpe militar em Argentina,Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,931
2024-01-01,2024,Batalha de Pequim (2024),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,932
2006-01-01,2006,Quebra da bolsa em Paris,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,933
2019-01-01,2019,Batalha de Londres (2019),Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,934
2007-01-01,2007,Avanço tecnológico em Economia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,935
2016-01-01,2016,Reforma política em América do Norte,Evento Político/Social,Evento Político/Social,Alto,Synthetic_Historical_Dataset,936
2017-01-01,2017,Golpe militar em Itália,Guerra/Conflito,Guerra/Conflito,Baixo,Synthetic_Historical_Dataset,937
2024-01-01,2024,Terremoto em Tóquio,Desastre Natural,Desastre Natural,Médio,Synthetic_Historical_Dataset,938
1973-01-01,1973,Tsunami no Pacífico,Desastre Natural,Desastre Natural,Médio,Synthetic_Historical_Dataset,939
2024-01-01,2024,Programa de saúde pública em Coreia do Sul,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,940
2019-01-01,2019,Dívida soberana de Austrália,Crise Econômica,Crise Econômica,Médio,Synthetic_Historical_Dataset,941
1997-01-01,1997,Inflação alta em Sudeste Asiático,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,942
2018-01-01,2018,Descoberta astronômica: Novo planeta,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Alto,Synthetic_Historical_Dataset,943
2002-01-01,2002,Tratado internacional assinado,Evento Político/Social,Evento Político/Social,Médio,Synthetic_Historical_Dataset,944
2005-01-01,2005,Descoberta científica em Psicologia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Baixo,Synthetic_Historical_Dataset,945
2017-01-01,2017,Conflito armado na Oriente Médio,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,946
2008-01-01,2008,Guerra em Sudeste Asiático (2008),Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,947
2022-01-01,2022,Crise internacional envolvendo Austrália e Canadá,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,948
1999-01-01,1999,Guerra em Europa (1999),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,949
1905-01-01,1905,Golpe militar em China,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,950
2024-01-01,2024,Inflação alta em Europa,Crise Econômica,Crise Econômica,Médio,Synthetic_Historical_Dataset,951
1956-01-01,1956,Revolução em Reino Unido,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,952
1905-01-01,1905,Descoberta científica em Astronomia,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Médio,Synthetic_Historical_Dataset,953
1999-01-01,1999,Exploração de Marte,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Alto,Synthetic_Historical_Dataset,954
2023-01-01,2023,Exploração de Marte,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Alto,Synthetic_Historical_Dataset,955
1991-01-01,1991,Descoberta sobre Malária,Avanço Médico/Saúde,Avanço Médico/Saúde,Alto,Synthetic_Historical_Dataset,956
1932-01-01,1932,Descoberta científica em Matemática,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,957
1949-01-01,1949,Invasão de Coreia do Sul,Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,958
2024-01-01,2024,Recessão econômica global,Crise Econômica,Crise Econômica,Alto,Synthetic_Historical_Dataset,959
2012-01-01,2012,Teoria revolucionária em Química,Avanço Científico/Tecnológico,Avanço Científico/Tecnológico,Alto,Synthetic_Historical_Dataset,960
1985-01-01,1985,Inundação em Europa,Desastre Natural,Desastre Natural,Alto,Synthetic_Historical_Dataset,961
2002-01-01,2002,Batalha de Berlim (2002),Guerra/Conflito,Guerra/Conflito,Alto,Synthetic_Historical_Dataset,962
2013-01-01,2013,Invasão de México,Guerra/Conflito,Guerra/Conflito,Médio,Synthetic_Historical_Dataset,963
2011-01-01,2011,Novo telescópio: Evento_963,Avanço Espacial/Astronômico,Avanço Espacial/Astronômico,Alto,Synthetic_Historical_Dataset,964
